,Point,Pass,DontPass,betName,betAmt,Q,N
5553,8,0,20,place4,5,-25.0,1
5554,4,0,20,place5,5,-5.0,2
5555,9,0,20,place8,5,0.41666666666666785,2
5556,8,20,0,buy10,5,15.0,1
5557,8,20,0,buy5,5,1.125,2
5558,5,20,0,buy10,5,15.0,1
5559,4,20,0,place4,5,29.0,1
5560,9,20,0,lay9,5,23.166666666666664,1
5561,9,0,20,place5,5,1.0,2
5562,8,0,20,dontCome,5,-25.0,1
5563,5,20,0,cAndE,5,-25.0,1
5564,4,20,0,place9,5,-13.0,1
5565,5,20,0,place6,5,-25.0,1
5566,6,20,0,place9,5,-25.0,1
5567,4,20,0,yoleven,5,-25.0,1
5568,10,20,0,hard10,5,-25.0,1
5569,4,0,20,buy8,5,36.5,1
5570,9,20,0,comeOdds,5,27.5,1
5571,4,0,20,aceDuece,5,15.0,1
5572,10,20,0,lay6,5,15.0,1
5573,5,20,0,comeOdds,5,27.5,2
5574,8,20,0,come,5,25.0,1
5575,5,0,20,aceDuece,5,55.0,2
5576,8,0,20,field,5,15.0,1
5577,8,20,0,lay5,5,15.0,1
5578,9,20,0,hard8,5,40.0,2
5579,10,20,0,place4,5,-25.0,1
5580,5,0,20,horn,5,15.0,1
5581,6,20,0,bigRed,5,-25.0,1
5582,5,0,20,buy9,5,15.0,1
5583,9,0,20,aceDuece,5,-25.0,1
5584,8,0,20,horn,5,-25.0,1
5585,9,0,20,hard6,5,15.0,1
5586,5,20,0,buy4,5,-25.0,2
5587,5,20,0,come,5,-25.0,1
5588,9,20,0,aceDuece,5,1.666666666666666,3
5589,5,0,20,place6,5,-25.0,1
5590,9,20,0,dontComeOdds,5,15.0,1
5591,4,20,0,hard8,5,-25.0,2
5592,10,20,0,buy6,5,-14.25,1
5593,6,20,0,dontComeOdds,5,-15.833333333333332,1
5594,9,0,20,cAndE,5,15.0,1
5595,10,20,0,place8,5,-25.0,1
