,Unnamed: 0,Point,Pass,DontPass,betName,betAmt,Q,N
4146,4146.0,6,0,15,buy9,20,-21.666666666666668,9
4147,4147.0,8,0,15,big6,20,-11.0,5
4148,4148.0,6,0,15,snakeeyes,20,-11.28205128205128,78
4149,4149.0,4,15,0,boxcars,20,28.428571428571427,35
4150,4150.0,9,0,15,place5,20,1.0,4
4151,4151.0,9,15,0,horn,20,-25.0,3
4152,4152.0,10,0,15,buy9,20,-6.222222222222223,9
4153,4153.0,5,15,0,hard10,20,-1.7763568394002505e-15,8
4154,4154.0,4,15,0,buy6,20,12.260869565217392,23
4155,4155.0,5,15,0,place6,20,-3.1666666666666643,20
4156,4156.0,4,0,15,place8,20,7.753623188405803,23
4157,4157.0,10,15,0,aceDuece,20,-23.749999999999996,16
4158,4158.0,4,0,15,horn,20,75.0,1
4159,4159.0,5,0,15,hard4,20,-11.923076923076923,13
4160,4160.0,10,15,0,boxcars,20,-21.451612903225808,31
4161,4161.0,6,0,15,hard8,20,-10.614035087719301,57
4162,4162.0,4,0,15,boxcars,20,18.500000000000004,40
4163,4163.0,5,0,15,yoleven,20,1.2857142857142816,35
4164,4164.0,8,15,0,dontCome,20,-5.0,2
4165,4165.0,4,15,0,snakeeyes,20,-28.793103448275854,29
4166,4166.0,5,15,0,place5,20,43.0,5
4167,4167.0,8,0,15,place6,20,17.66666666666667,15
4168,4168.0,8,15,0,anyCraps,20,-5.0,3
4169,4169.0,4,15,0,hiLo,20,1.8750000000000018,16
4170,4170.0,5,15,0,passOdds,20,-35.0,7
4171,4171.0,10,0,15,hard6,20,-4.218847493575595e-15,42
4172,4172.0,6,15,0,buy9,20,-5.0,3
4173,4173.0,8,15,0,buy6,20,16.565217391304348,23
4174,4174.0,5,0,15,dontComeOdds,20,28.33333333333333,2
4175,4175.0,5,15,0,comeOdds,20,-12.142857142857144,7
4176,4176.0,5,0,15,big8,20,-1.6666666666666679,6
4177,4177.0,8,0,15,dontPassOdds,20,9.444444444444448,15
4178,4178.0,4,0,15,buy9,20,13.642857142857142,14
4179,4179.0,9,0,15,dontComeOdds,20,1.190476190476189,7
4180,4180.0,4,0,15,buy5,20,-25.0,6
4181,4181.0,9,15,0,world,20,-13.666666666666668,3
4182,4182.0,5,15,0,buy5,20,-25.124999999999996,8
4183,4183.0,6,15,0,place4,20,23.0,2
4184,4184.0,8,15,0,passOdds,20,-1.3636363636363638,11
4185,4185.0,10,15,0,hard6,20,12.916666666666668,24
4186,4186.0,5,15,0,place9,20,-3.8000000000000007,5
4187,4187.0,9,15,0,hard4,20,-3.5714285714285743,7
4188,4188.0,9,0,15,place10,20,-25.0,3
4189,4189.0,9,15,0,hard10,20,16.250000000000007,8
4190,4190.0,5,15,0,anyCraps,20,-5.0,1
4191,4191.0,10,15,0,big6,20,-15.0,9
4192,4192.0,4,15,0,dontCome,20,3.5714285714285716,7
4193,4193.0,4,0,15,hard10,20,-1.3636363636363664,11
4194,4194.0,8,15,0,big8,20,-17.5,4
4195,4195.0,4,15,0,buy5,20,-5.333333333333333,9
4196,4196.0,5,15,0,buy6,20,-10.95,20
4197,4197.0,9,0,15,hard10,20,-20.0,8
4198,4198.0,4,0,15,aceDuece,20,9.285714285714285,14
4199,4199.0,6,15,0,place6,20,-1.1538461538461489,13
4200,4200.0,6,0,15,place5,20,-15.0,3
4201,4201.0,9,15,0,buy9,20,44.0,3
4202,4202.0,8,15,0,field,20,0.0,2
4203,4203.0,4,15,0,cAndE,20,45.0,1
4204,4204.0,5,0,15,cAndE,20,-18.333333333333332,9
4205,4205.0,6,0,15,cAndE,20,3.5,20
4206,4206.0,6,0,15,hard6,20,5.000000000000001,24
4207,4207.0,4,0,15,anyCraps,20,-5.0,2
4208,4208.0,8,0,15,buy4,20,53.666666666666664,3
4209,4209.0,9,15,0,buy10,20,39.0,4
4210,4210.0,6,0,15,horn,20,-7.666666666666666,15
4211,4211.0,4,0,15,big6,20,26.53846153846154,13
4212,4212.0,9,15,0,cAndE,20,-9.545454545454545,11
4213,4213.0,4,15,0,big6,20,-6.999999999999998,5
4214,4214.0,9,15,0,yoleven,20,-23.461538461538467,26
4215,4215.0,5,0,15,hiLo,20,-11.250000000000002,40
4216,4216.0,10,0,15,big8,20,6.333333333333331,15
4217,4217.0,9,15,0,field,20,-35.0,1
4218,4218.0,6,15,0,big8,20,17.5,8
4219,4219.0,6,15,0,place5,20,-23.0,5
4220,4220.0,6,15,0,anyCraps,20,-5.0,2
4221,4221.0,4,0,15,yoleven,20,-18.333333333333332,18
4222,4222.0,4,0,15,buy10,20,-15.0,6
4223,4223.0,9,15,0,big8,20,-27.5,4
4224,4224.0,8,15,0,buy5,20,-21.833333333333332,12
4225,4225.0,9,0,15,buy10,20,-5.249999999999999,4
4226,4226.0,8,15,0,place8,20,-14.047619047619044,14
4227,4227.0,4,0,15,place5,20,43.0,4
