,Point,Pass,DontPass,betName,betAmt,Q,N
339,8,0,5,buy10,5,3.9583333333333335,6
340,6,0,5,place4,5,-3.3333333333333335,3
341,8,5,0,place5,5,-2.181818181818182,11
342,5,0,5,None,0,2.220446049250313e-16,4
343,6,5,0,lay6,5,-3.680555555555556,3
344,10,5,0,buy5,5,1.35,10
345,10,0,5,buy4,5,0.0,4
346,4,5,0,cAndE,5,0.0,2
347,9,5,0,cAndE,5,-6.25,8
348,4,0,5,bigRed,5,-5.0,2
349,5,5,0,buy4,5,-5.083333333333333,3
350,10,0,5,place4,5,1.3333333333333335,3
351,8,5,0,place10,5,-5.0,2
352,10,0,5,horn,5,0.0,3
353,5,5,0,dontCome,5,0.0,3
354,6,0,5,place10,5,14.0,1
355,6,5,0,place10,5,-5.714285714285714,7
356,5,5,0,place10,5,-3.333333333333333,3
357,4,5,0,horn,5,-10.0,2
358,10,0,5,hard10,5,0.0,1
359,8,5,0,None,0,0.0,12
360,9,5,0,place4,5,-2.0,3
361,5,0,5,horn,5,-5.0,4
362,5,5,0,hard10,5,1.0248212535001446e-16,13
363,6,5,0,anyCraps,5,-2.5,4
364,10,5,0,lay8,5,-3.6805555555555562,3
365,4,0,5,dontComeOdds,5,-10.0,1
366,8,0,5,world,5,-3.3333333333333326,9
367,4,0,5,horn,5,0.0,1
368,5,0,5,world,5,8.0,2
369,5,5,0,world,5,2.0,3
370,4,5,0,buy4,5,-0.10000000000000009,5
371,9,0,5,anyCraps,5,7.5,4
372,6,5,0,place4,5,0.0,2
373,9,5,0,world,5,21.0,1
374,10,5,0,lay6,5,-3.281250000000001,4
375,9,0,5,None,0,5.0,2
376,8,0,5,place10,5,-10.0,2
377,9,5,0,place10,5,-10.0,2
378,9,5,0,lay6,5,-2.760416666666667,4
379,4,0,5,dontPassOdds,5,7.5,1
380,10,0,5,lay8,5,-3.3333333333333335,3
381,4,5,0,lay6,5,8.437499999999998,2
382,4,0,5,lay6,5,0.0,1
383,9,5,0,buy4,5,2.375,2
384,8,5,0,place4,5,0.0,1
385,10,0,5,None,0,-1.6666666666666665,3
386,4,0,5,place10,5,-5.0,2
387,10,5,0,place4,5,-10.0,1
388,4,5,0,place10,5,-10.0,1
389,10,5,0,cAndE,5,-10.0,1
390,6,5,0,bigRed,5,0.0,1
391,9,0,5,field,5,10.0,1
392,9,0,5,buy6,10,0.15909090909090862,22
393,4,5,0,place8,10,7.543859649122812,19
394,5,0,5,horn,10,-10.0,2
395,9,5,0,boxcars,10,-4.047619047619046,42
396,10,0,5,dontCome,10,6.627906976744186,43
397,8,0,5,dontComeOdds,10,-4.6969696969696955,11
398,9,0,5,big8,10,6.250000000000001,8
399,4,5,0,boxcars,10,-1.8965517241379295,29
400,6,0,5,boxcars,10,1.0714285714285703,84
401,6,0,5,aceDuece,10,-2.4603174603174613,63
402,9,0,5,dontCome,10,2.1428571428571423,42
403,5,0,5,dontCome,10,7.340425531914894,47
404,6,5,0,yoleven,10,1.2264150943396226,53
405,10,5,0,place5,10,-11.25,8
406,6,5,0,cAndE,10,-7.5,12
407,8,0,5,hiLo,10,-1.7346938775510206,49
408,5,0,5,hard8,10,-3.292682926829268,41
409,5,0,5,hiLo,10,-1.585365853658538,41
410,9,5,0,snakeeyes,10,-12.352941176470589,34
411,4,0,5,hard6,10,1.9999999999999998,30
412,10,5,0,hard8,10,-2.4193548387096784,31
413,6,0,5,yoleven,10,-0.2727272727272725,55
414,6,0,5,hard6,10,-3.787878787878789,33
415,8,0,5,boxcars,10,0.22222222222222354,90
416,6,0,5,place5,10,-3.8571428571428568,7
417,6,0,5,dontPassOdds,10,1.1904761904761925,7
418,5,5,0,place6,10,9.111111111111114,15
419,5,0,5,aceDuece,10,-4.705882352941175,34
420,6,0,5,hard8,10,-6.500000000000001,40
421,9,5,0,aceDuece,10,0.294117647058824,34
422,6,0,5,comeOdds,10,-5.0,1
423,5,0,5,buy9,10,-7.857142857142856,7
424,8,0,5,yoleven,10,1.304347826086957,46
425,5,5,0,buy6,10,-2.5625,16
426,4,0,5,yoleven,10,-8.076923076923077,13
427,4,0,5,dontCome,10,5.526315789473685,38
428,5,0,5,place8,10,-8.636363636363637,11
429,4,5,0,buy8,10,-3.88235294117647,17
430,4,5,0,aceDuece,10,-2.22222222222222,18
431,9,5,0,yoleven,10,7.962962962962961,27
432,6,5,0,big6,10,9.0,5
433,4,0,5,aceDuece,10,-5.8695652173913055,23
434,9,5,0,place6,10,0.384615384615387,13
435,10,0,5,boxcars,10,-8.68421052631579,38
436,6,5,0,passOdds,10,2.23076923076923,13
437,6,0,5,buy8,10,-1.5714285714285712,21
438,6,5,0,boxcars,10,-6.230769230769231,65
439,6,0,5,hiLo,10,4.272727272727275,55
440,10,0,5,big8,10,2.0000000000000004,10
441,6,0,5,dontCome,10,5.571428571428569,35
442,4,5,0,snakeeyes,10,0.6000000000000009,25
443,4,0,5,buy8,10,3.7222222222222214,27
444,5,5,0,aceDuece,10,8.600000000000001,25
445,5,0,5,snakeeyes,10,5.232558139534886,86
446,5,5,0,boxcars,10,-10.41666666666667,48
447,5,5,0,hard8,10,-0.3125,32
448,5,0,5,hard4,10,-10.0,4
449,9,0,5,boxcars,10,-8.888888888888888,54
450,8,5,0,boxcars,10,5.126582278481013,79
451,8,0,5,dontCome,10,0.3846153846153843,39
452,4,5,0,hard8,10,-11.538461538461538,26
453,8,0,5,place5,10,-11.666666666666666,9
454,8,5,0,buy9,10,-9.0,5
455,6,5,0,place8,10,-0.5952380952380936,14
456,5,0,5,boxcars,10,6.500000000000002,60
457,10,5,0,hiLo,10,2.4999999999999982,12
458,9,0,5,snakeeyes,10,-4.000000000000001,50
459,6,5,0,place6,10,4.0000000000000036,10
460,6,0,5,passOdds,10,-5.0,1
461,8,0,5,place9,10,-11.666666666666666,3
462,8,0,5,place6,10,-4.999999999999998,23
463,8,0,5,world,10,0.2500000000000009,8
464,6,5,0,comeOdds,10,-7.0,12
465,9,5,0,buy6,10,-2.277777777777777,18
466,5,0,5,hard10,10,-12.142857142857144,7
467,5,0,5,lay8,10,-5.0,2
468,5,5,0,passOdds,10,-15.0,5
469,4,0,5,big6,10,-5.0,8
470,4,0,5,big8,10,7.500000000000001,8
471,8,0,5,snakeeyes,10,-9.117647058823527,85
472,8,5,0,buy6,10,7.083333333333331,12
473,9,5,0,hard8,10,-2.0,30
474,10,0,5,place8,10,-1.799999999999998,25
475,6,5,0,hard6,10,-0.8536585365853658,41
476,10,5,0,passOdds,10,4.999999999999999,4
477,4,0,5,hard10,10,3.750000000000001,8
478,8,0,5,hard6,10,4.7368421052631575,38
479,4,5,0,dontCome,10,3.5714285714285716,14
480,9,0,5,hiLo,10,-0.15151515151515166,33
481,6,5,0,snakeeyes,10,0.6363636363636359,55
482,4,5,0,yoleven,10,10.714285714285715,14
483,10,5,0,yoleven,10,9.375,16
484,10,5,0,snakeeyes,10,-2.5,28
485,5,0,5,place9,10,-3.2,10
486,6,0,5,hard4,10,-7.5,4
487,5,0,5,cAndE,10,-7.5,4
488,9,0,5,buy8,10,3.4444444444444446,18
489,8,0,5,aceDuece,10,-6.106226635438361e-16,48
490,5,5,0,hard6,10,-1.578947368421053,38
491,4,0,5,buy6,10,2.3695652173913047,23
492,9,5,0,horn,10,-5.0,1
493,4,0,5,snakeeyes,10,-8.783783783783782,37
494,6,0,5,snakeeyes,10,7.941176470588233,85
495,8,5,0,hard10,10,-8.75,8
496,8,5,0,snakeeyes,10,-2.9729729729729746,74
497,8,5,0,aceDuece,10,-6.000000000000001,40
498,5,5,0,big8,10,9.0,5
499,10,5,0,buy5,10,3.375,4
500,6,0,5,big8,10,-2.142857142857143,7
501,8,5,0,place6,10,3.4444444444444478,15
502,5,0,5,big8,10,0.9999999999999996,10
503,8,5,0,yoleven,10,-4.333333333333334,45
504,8,5,0,dontCome,10,-5.0,2
505,5,5,0,buy8,10,4.1,15
506,8,0,5,cAndE,10,-7.771561172376096e-16,14
507,9,0,5,hard8,10,-2.291666666666666,48
508,9,5,0,big6,10,11.0,5
509,9,0,5,aceDuece,10,-9.166666666666664,36
510,5,0,5,buy4,10,8.7,5
511,4,5,0,big8,10,-3.888888888888889,9
512,4,5,0,place6,10,5.454545454545459,11
513,6,5,0,aceDuece,10,0.5769230769230773,52
514,10,0,5,lay8,10,-5.0,2
515,6,5,0,horn,10,-5.0,9
516,10,0,5,hard6,10,4.791666666666666,48
517,4,5,0,buy5,10,-10.0,2
518,10,0,5,aceDuece,10,2.0588235294117645,17
519,9,0,5,place6,10,-2.499999999999999,24
520,10,5,0,buy6,10,-3.7187500000000004,16
521,9,0,5,yoleven,10,1.5517241379310358,29
522,5,0,5,yoleven,10,2.096774193548386,31
523,5,5,0,hard10,10,4.440892098500626e-16,10
524,4,0,5,place5,10,-2.2,5
525,6,0,5,cAndE,10,-6.111111111111111,18
526,9,5,0,big8,10,-3.333333333333333,6
527,10,0,5,place4,10,4.0,2
528,6,5,0,buy8,10,-2.3214285714285716,14
529,6,0,5,buy9,10,-13.333333333333334,6
530,10,0,5,hard4,10,4.166666666666668,12
531,5,5,0,cAndE,10,2.499999999999999,8
532,10,5,0,place6,10,1.231884057971017,23
533,5,0,5,place6,10,3.7962962962962994,18
534,4,5,0,hard6,10,-5.277777777777778,36
535,5,0,5,hard6,10,5.217391304347827,46
536,6,0,5,buy5,10,4.749999999999998,8
537,10,0,5,hard8,10,-1.3636363636363638,44
538,10,0,5,hiLo,10,16.666666666666668,18
539,8,5,0,hard6,10,5.294117647058824,34
540,9,0,5,hard6,10,-2.142857142857142,42
541,9,0,5,cAndE,10,2.5,4
542,4,0,5,buy9,10,8.375,4
543,8,5,0,come,10,-15.0,2
544,5,5,0,yoleven,10,6.48148148148148,27
545,6,5,0,hiLo,10,2.0,50
546,8,5,0,hiLo,10,-2.1698113207547167,53
547,4,0,5,hard8,10,1.0869565217391308,46
548,8,0,5,buy9,10,-7.583333333333333,6
549,10,0,5,place5,10,7.90909090909091,11
550,8,0,5,buy6,10,-0.49999999999999944,16
551,10,0,5,place6,10,0.6666666666666689,20
552,8,0,5,dontPassOdds,10,-1.777777777777776,15
553,5,5,0,big6,10,-10.0,4
554,8,0,5,field,10,-15.0,1
555,8,0,5,hard8,10,-2.878787878787879,33
556,5,5,0,buy9,10,-8.1875,8
557,6,0,5,place8,10,0.11904761904762129,14
558,8,0,5,hard4,10,-0.5555555555555551,9
